	English words/sentences	French words/sentences
395	Is it OK if I open a can?	Puis-je ouvrir une boîte ?
396	Is it OK if I open a can?	Puis-je ouvrir une cannette ?
397	It wasn't me. It was Tom.	Ce n'était pas moi. C'était Tom.
398	It's all in a day's work.	Ça fait partie du travail.
399	It's hot today, isn't it?	Il fait chaud, aujourd'hui, n'est-ce pas ?
400	Tom is a 33-year-old man.	Tom est un homme de trente-trois ans.
401	Tom is a 33-year-old man.	Tom est un homme de 33 ans.
402	I have a ten-year-old boy.	J'ai un garçon de dix ans.
403	I have a ten-year-old boy.	J'ai un garçon âgé de dix ans.
404	I need some get-up-and-go.	J'ai besoin d'une stimulation.
405	I need some get-up-and-go.	J'ai besoin d'énergie.
406	I'm sorry, I don't buy it.	Je suis désolé, je ne gobe pas ça.
407	I'm sorry, I don't buy it.	Je suis désolée, je ne gobe pas ça.
408	If I were you, I'd buy it.	Si j'étais à ta place, je l'achèterais.
409	If I were you, I'd buy it.	Si j'étais vous, je l'acquerrais.
410	If I were you, I'd buy it.	Si j'étais toi, je l'acquerrais.
411	It's a nice day, isn't it?	Belle journée, n'est-ce pas ?
412	Tom is a stay-at-home dad.	Tom est père au foyer.
413	Add 5 and 2, and you get 7.	Cinq plus deux égalent sept.
414	I have time, so I'll do it.	J'ai du temps, donc je le ferai.
415	I'm a good-for-nothing bum.	Je suis un clochard bon à rien.
416	I'm sorry, I can't do that.	Je suis désolé, je ne peux pas faire ça.
417	I'm sorry, I can't do that.	Désolée, je ne peux pas faire ça.
418	I'm sorry, I can't do this.	Désolé, je ne peux pas faire ça.
419	If I can do it, so can you.	Si je sais le faire, toi aussi.
420	If I can do it, so can you.	Si je sais le faire, vous aussi.
421	If I were you, I'd ask him.	Si j'étais toi, je lui demanderais.
422	If I were you, I'd ask him.	Si j'étais vous, je lui demanderais.
423	If I were you, I'd do that.	Si j'étais toi, je ferais ça.
424	My brother-in-law is a cop.	Mon beau-frère est flic.
425	Tom will go, too, won't he?	Tom ira aussi, n'est-ce pas ?
426	Come on, Tom. Let's go home.	Allez, Tom. Rentrons.
427	Come on, Tom. Let's go home.	Allez, Tom. Rentrons à la maison.
428	He's kind of cute, isn't he?	Il est assez mignon, n'est-ce pas ?
429	He's kind of cute, isn't he?	Il est assez mignon, non ?
430	He's kind of cute, isn't he?	Il est mignon, dans son genre, non ?
431	I don't know if I can do it.	Je ne sais pas si je peux le faire.
432	I don't know if I can do it.	J'ignore si je peux le faire.
433	I don't know, nor do I care.	Je l'ignore, et je m'en fiche.
434	"I ran so I would be on time."""	Je courus, afin d'être à l'heure.
435	I want to help, but I can't.	Je veux aider mais je ne peux pas.
436	I was tired, so I didn't go.	J'étais fatiguée, donc je n'y suis pas allé.
437	I was tired, so I didn't go.	J'étais fatigué, donc je n'y suis pas allé.
438	I'm sorry, I can't help you.	Je suis désolé de ne pas pouvoir t'aider.
439	I'm sorry, I can't help you.	Je suis désolée de ne pas pouvoir t'aider.
440	I'm sorry, I can't help you.	Je suis désolé, je ne peux pas t'aider.
441	I'm very sorry, but I can't.	Je regrette beaucoup, mais je ne peux pas.
442	Oh, no! My house is on fire!	Oh, non ! Ma maison est en feu !
443	Don't act like a know-it-all.	N'agis pas en Monsieur Je-sais-tout !
444	Don't act like a know-it-all.	N'agissez pas en Monsieur Je-sais-tout !
445	Don't act like a know-it-all.	N'agis pas en Madame Je-sais-tout !
446	Don't act like a know-it-all.	N'agissez pas en Madame Je-sais-tout !
447	"Don't worry. We're safe here."""	Ne vous en faites pas ! Nous sommes en sécurité, ici.
448	Have a cup of tea, won't you?	Vous prendrez bien une tasse de thé ?
449	I am a student, but he isn't.	Je suis étudiant, mais lui, non.
450	I can't go, nor do I want to.	Je ne peux pas y aller, ni ne le veux.
451	I can't go, nor do I want to.	Je ne peux ni ne veux m'en aller.
452	I'd like to help, but I can't.	J'aimerais aider, mais je ne peux pas.
453	If you want me to go, I'll go.	Si tu veux que j'y aille, j'irai.
454	If you want me to go, I'll go.	Si vous voulez que j'y aille, j'irai.
455	Were you with my father today?,Étais-tu avec mon père	"aujourd'hui ?"""
456	Were you with my father today?,Étiez-vous avec mon père	"aujourd'hui ?"""
457	I don't know how, but I did it.	J'ignore comment mais je l'ai fait.
458	I'm glad to meet you, too, Tom.	Je suis aussi ravi de te rencontrer, Tom.
459	I'm sorry, I don't mean to pry.	Je suis désolé, je ne veux pas m'immiscer.
460	I'm sorry, I don't mean to pry.	Je suis désolée, je ne veux pas m'immiscer.
461	If I could, I'd do that again.	Si je pouvais, je le referais.
462	If I weren't broke, I'd buy it.	Si je n'étais pas fauché, je l'achèterais.
463	If you'd kiss me, I'd be happy.	Si tu m'embrassais, je serais heureux.
464	If you'd kiss me, I'd be happy.	Si vous m'embrassiez, je serais heureux.
465	If you'd kiss me, I'd be happy.	Si vous m'embrassiez, je serais heureuse.
466	If you'd kiss me, I'd be happy.	Si tu m'embrassais, je serais heureuse.
467	As far as I know, he isn't lazy.	Pour autant que je sache, il n'est pas fainéant.
468	As far as I know, he won't come.	Pour autant que je sache, il ne viendra pas.
469	Don't worry. I'm not mad at you.	Ne t'inquiète pas. Je ne suis pas en colère contre toi.
470	I don't care if it's a bit cold.	Je m'en fiche s'il fait un peu froid.
471	I hear you, but I don't see you.	Je t'entends mais je ne te vois pas.
472	I may be old, but I'm not crazy.	Je suis peut-être vieux, mais pas fou.
473	I may be old, but I'm not crazy.	Je suis peut-être vieille, mais pas folle.
474	I'll get fired if I don't do it.	Je vais me faire virer si je ne le fais pas.
475	I'm sorry, Tom, I can't do that.	Je suis désolée, Tom, je ne peux pas faire ça.
476	I'm sorry, but I can't help you.	Je suis désolé mais je ne peux pas t'aider.
477	I'm sorry, but I can't help you.	Je suis désolée mais je ne peux pas vous aider.
478	I'm tired. It's been a long day.	Je suis fatigué. Ça a été une longue journée.
479	If I were you, I wouldn't do it.	Si j'étais toi, je ne le ferais pas.
480	If I were you, I wouldn't do it.	Si j'étais vous, je ne le ferais pas.
481	If I were you, I'd buy that one.	Si j'étais toi, j'achèterais celui-là.
482	If I were you, I'd buy that one.	Si j'étais toi, j'achèterais celui-ci.
483	If I were you, I'd buy that one.	Si j'étais vous, j'achèterais celui-là.
484	If I were you, I'd buy that one.	Si j'étais vous, j'achèterais celui-ci.
485	If it ain't broke, don't fix it.	Lorsque ce n'est pas cassé, il ne faut pas le réparer !
486	If it ain't broke, don't fix it.	On ne change pas une équipe qui gagne.
487	My pen is old. I want a new one.	Mon stylo est vieux. J'en veux un nouveau.
488	Don't do that. It's not your job.	Ne faites pas ça ! Ce n'est pas votre boulot.
489	Don't do that. It's not your job.	Ne fais pas ça ! Ce n'est pas ton boulot.
490	Go away. I don't want to see you.	Va-t'en ! Je ne veux pas te voir.
491	Go away. I don't want to see you.	Allez-vous en ! Je ne veux pas vous voir.
492	He is, indeed, a man of his word.	C'est vraiment un homme de parole.
493	"He said, I want to be a doctor."""	Il Il a dit : « Je veux devenir médecin. »
494	I didn't say it wasn't OK to eat.	Je n'ai pas dit que c'était mal de manger.
495	I don't feel like I'm old at all.	Je n'ai pas l'impression d'être vieux.
496	I don't feel like I'm old at all.	Je ne me sens pas du tout vieille.
497	I don't feel like I'm old at all.	Je ne me sens pas vieux du tout.
498	I don't know how, but you did it.	J'ignore comment, mais vous l'avez fait.
499	I don't know how, but you did it.	J'ignore comment, mais tu l'as fait.
500	I'd like to do that, but I can't.	J'aimerais faire ça mais je ne peux pas.
501	If you don't go, I won't, either.	Si tu n'y vas pas, je n'irai pas moi non plus.
502	If you don't go, I won't, either.	Si vous n'y allez pas, moi non plus.
503	Ouch!! I've been stung by a bee!!	Aïe !! J'ai été piqué par une abeille !!
504	As far as I know, he's a nice guy.	Pour autant que je sache, c'est un chic type.
505	I can't go now. I have work to do.	Je ne peux pas m'y rendre pour le moment. J'ai du travail à faire.
506	I'm not as rich as I'd like to be.	Je ne suis pas aussi riche que je le voudrais.
507	I'm not as rich as I'd like to be.	Je ne suis pas aussi riche que je le souhaiterais.
508	I'm not rich, nor do I wish to be.	Je ne suis pas riche, et ne souhaite pas l'être.
509	If you don't want it, I'll eat it.	Si tu n'en veux pas, je le mangerai.
510	If you don't want it, I'll eat it.	Si vous n'en voulez pas, je le mangerai.
511	It's a bit warm in here, isn't it?	Il fait un peu chaud ici, non ?
512	That's it. I've done all I can do.	Ça y est. J'ai fait tout ce que je peux.
513	I am not rich, nor do I wish to be.	Je ne suis pas riche, et ne souhaite pas l'être.
514	I'm sorry, but I can't go with you.	Désolé, mais je ne peux pas venir avec vous.
515	If I don't do it now, I never will.	Si je ne le fais pas maintenant, je ne le ferai jamais.
516	If I'd known it, I'd have told you.	Si je l'avais su, je vous l'aurais dit.
517	If I'd known it, I'd have told you.	Si je l'avais su, je te l'aurais dit.
518	If I'd known it, I'd have told you.	L'aurais-je su, je te l'aurais dit.
519	If I'd known it, I'd have told you.	L'aurais-je su, je vous l'aurais dit.
520	If you don't go, I won't go either.	Si tu n'y vas pas, je n'irais pas non plus.
521	"Are you sad? No. Why would I be?"""	« Es-tu triste ? » « Non, pourquoi le serais-je ? »
522	"Are you sad? No. Why would I be?"""	« Êtes-vous triste ? » « Non, pourquoi le serais-je ? »
523	Don't give it to him. Give it to me.	Ne le lui donne pas. Donne-le-moi.
524	Don't give it to him. Give it to me.	Ne le lui donnez pas. Donnez-le-moi.
525	"I aim to be a doctor when I grow up."""	Je prévois d'être médecin, lorsque je deviendrai grande.
526	I can hear you, but I can't see you.	Je t'entends mais je ne peux pas te voir.
527	"I need a new broom. This one's shot."""	J'ai besoin d'un nouveau balai, celui-ci est foutu.
528	I want to have a part-time job, too.	Je veux aussi avoir un emploi à temps partiel.
529	I want to have a part-time job, too.	Je veux également avoir un emploi à temps partiel.
530	I wish I could do that, but I can't.	J'aimerais bien pouvoir faire ça, mais je ne peux pas.
531	I'll be out of town for a day or so.	Je vais m'absenter un jour ou deux.
532	If I don't do it, it won't get done.	Si je ne le fais pas, cela ne sera pas fait.
533	If I told you, I'd have to kill you.	Si je te le disais, je devrais te tuer.
534	If I told you, I'd have to kill you.	Si je vous le disais, je devrais vous tuer.
535	If you don't want me to go, I won't.	Si tu ne veux pas que j'y aille, je n'irai pas.
536	It's OK with me if it's OK with you.	Ça me va si ça te va.
537	It's OK with me if it's OK with you.	Ça me va si ça vous va.
538	It's all over for me. I lost my job.	Tout est fini pour moi. J'ai perdu mon travail.
539	This is a once-in-a-lifetime chance.	C'est l'occasion d'une vie.
